cluster,model,observable,tracer,shape_y,shape_x,spatial_block_count,target_blocks_per_axis,observed_ratio,bootstrap_n,block_ratio_mean,block_ratio_sd,block_ratio_p05,block_ratio_p50,block_ratio_p95,log_ratio_se
macs1931,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,576,24,1.2964473868593598,300,1.2997249709652707,0.1342000653565539,1.0858471730799688,1.2874368503867366,1.5362935380693614,0.10205153257008101
macs1931,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.757458392967873,300,1.7507802770984442,0.15609231340740304,1.501715827298401,1.754031987657699,2.0129595210125557,0.09038466907767158
macs1931,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,576,24,1.30211938957559,300,1.308592252603292,0.13234426062943333,1.105494370098108,1.3085220419649215,1.5506860888664502,0.10099715559172256
macs1931,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.678483160750066,300,1.67806364814785,0.14625554588221976,1.452026762651927,1.6647992791008481,1.9273744185546435,0.08780128935204301
rxj1532,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,576,24,1.241648606394855,300,1.254881553372179,0.12033622104548974,1.0754105419737712,1.2460493061801023,1.46612754704,0.09469463660016086
rxj1532,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.7467313937122986,300,1.7376450928471423,0.15113213018512883,1.5030732760019807,1.737753272741863,2.0039412131659304,0.08694942072781911
rxj1532,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,576,24,1.2488245887226543,300,1.2585181771449274,0.13714735314388657,1.068233979962303,1.2533642281280812,1.518863869685717,0.1065937069950191
rxj1532,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.6415138799047888,300,1.6493487705662169,0.1342713300236738,1.4393437582741166,1.646271247695319,1.8780206574242364,0.08251455676354641
rxj1532,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,576,24,1.201592254298748,300,1.2191172172022358,0.12094432669897072,1.0423086079940633,1.2051034151877051,1.4504461411026495,0.0978089106118484
rxj1532,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.5556407759756397,300,1.5591026455009906,0.12679347507008631,1.3562963525641911,1.5478087284447755,1.7629030722032968,0.08180551667895905
rxj1532,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,576,24,1.20431891996526,300,1.2153826244551238,0.12759576766690003,1.027182080277165,1.2061613402943565,1.429260380795536,0.10358440232213426
rxj1532,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.5447902583037862,300,1.529473819458705,0.12054760116753843,1.3404090952436136,1.532391422476933,1.7294421673552636,0.07976280920543641
macs0744,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,576,24,1.2390630799083362,300,1.249843592046481,0.1294777248538512,1.064179540941842,1.2457662728222147,1.4806675838871326,0.10258025349465807
macs0744,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.4266749252889586,300,1.402718088256588,0.1819286119926931,1.11332889958996,1.4139881290846055,1.7055341459079087,0.1324932675441202
macs0744,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,576,24,0.8900763228852944,300,0.8992272667722946,0.10002931765841498,0.7341929826189602,0.8930440217290239,1.0749153197258898,0.11109873723055566
macs0744,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,0.5229519547533632,300,0.517539291930933,0.08515678888616862,0.3816810135638579,0.5150150599449644,0.6632094490208525,0.17093500090018332
macs0744,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,576,24,1.1751960662032814,300,1.179254538099942,0.1052192948037712,1.0173591818997612,1.1687995978318841,1.3730443345711307,0.08827730684428549
macs0744,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.5435212983314066,300,1.5434397615939413,0.21171090323563113,1.2007547712911995,1.548126735850957,1.8710873513960096,0.140938621915318
macs0744,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,576,24,1.0503123757334916,300,1.0473490515995116,0.11087097089740353,0.8698479613256622,1.03870356326059,1.2383061698360902,0.10565125964435919
macs0744,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,0.4530192210606509,300,0.4518042046303189,0.07783405662937014,0.33109696945827527,0.44828184058484377,0.5863595695883363,0.1735709382393281
macs0329,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,576,24,1.1860081749561735,300,1.2001034299669215,0.11587886295831543,1.0334812682931598,1.1923731577344143,1.4032369430528913,0.0958654095904119
macs0329,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.4618361686277577,300,1.4689612077154834,0.18543889372707298,1.1705040927394537,1.4780470934769063,1.7412913171073223,0.1273622156208316
