cluster,model,observable,tracer,shape_y,shape_x,spatial_block_count,target_blocks_per_axis,observed_ratio,bootstrap_n,block_ratio_mean,block_ratio_sd,block_ratio_p05,block_ratio_p50,block_ratio_p95,log_ratio_se
abells1063,diego_v4.1,magnif,chandra_xray_radius_exposure_residual_z,512,512,576,24,1.5850087119817675,500,1.591244212447523,0.17699535411176592,1.3142219375055872,1.582181070909071,1.8924192826099622,0.11125074135369084
abells1063,williams_v4.1,kappa,chandra_xray_sigma1,799,799,576,24,1.3807119944995963,500,1.3822712609135022,0.1552175902029266,1.1507322066704722,1.360285838295792,1.6588875795075029,0.11047814318749025
abells1063,williams_v4.1,kappa,chandra_xray_radius_exposure_residual_z,799,799,576,24,2.0239544495609825,500,2.020352396847483,0.23806723899480264,1.6263417236359614,2.017049161608184,2.4133750091518027,0.11982199962113525
abells1063,williams_v4.1,magnif,chandra_xray_sigma1,799,799,576,24,1.3214435824268471,500,1.334241927776733,0.1422675067192955,1.116237659401641,1.3283236261852314,1.5754024231078068,0.10658353306938423
abells1063,williams_v4.1,magnif,chandra_xray_radius_exposure_residual_z,799,799,576,24,1.218881479378651,500,1.2095254275417044,0.20749516900097456,0.8492042534218343,1.2074314447465064,1.5339022931101738,0.17774389801600612
macs0416,merten_v1,kappa,chandra_xray_sigma1,180,180,516,24,1.4365217677232673,500,1.417291339343111,0.21340769287858372,1.0780186686380395,1.4258701457425131,1.7419151859333464,0.15725369840909512
macs0416,merten_v1,kappa,chandra_xray_radius_exposure_residual_z,180,180,516,24,1.5233890839419482,500,1.5106473397644582,0.23045035231077124,1.136268765284063,1.5044929789698802,1.8847798391477666,0.15582386313480073
macs0416,merten_v1,magnif,chandra_xray_sigma1,180,180,516,24,1.453444360333081,500,1.4296311650421951,0.18267814080210742,1.1423754312144692,1.4194446683486608,1.7205981414630824,0.1297195562936987
macs0416,merten_v1,magnif,chandra_xray_radius_exposure_residual_z,180,180,516,24,1.5504404273081966,500,1.5499611558163646,0.20907852320124723,1.1875202726083496,1.5500800951117242,1.881821562680068,0.13739798885046764
macs0416,cats_v4.1,kappa,chandra_xray_sigma1,1000,1000,576,24,1.6399616762503322,500,1.669034032336025,0.18750575403613962,1.39536514426491,1.656223510893243,2.016824723532411,0.11049052225605333
macs0416,cats_v4.1,kappa,chandra_xray_radius_exposure_residual_z,1000,1000,576,24,2.1665576629605408,500,2.149588408419864,0.20431874652871168,1.8339677040839535,2.1475063517190405,2.4666382421806867,0.09512818835400472
macs0416,cats_v4.1,magnif,chandra_xray_sigma1,1000,1000,576,24,1.6430959245655237,500,1.6730055034771492,0.1867602604485689,1.4013626837065183,1.6508343460099852,2.011551884494182,0.11005705494980197
macs0416,cats_v4.1,magnif,chandra_xray_radius_exposure_residual_z,1000,1000,576,24,2.1712450946197968,500,2.1838801656892275,0.2122035328382479,1.854710804121002,2.177045399081276,2.5268326274072375,0.09747642970214863
macs0416,diego_v4.1,kappa,chandra_xray_sigma1,512,512,576,24,1.664990707539365,500,1.6830391828324214,0.18095442703218262,1.4055432274771176,1.6698077889698273,2.000959078313541,0.10614842835852328
macs0416,diego_v4.1,kappa,chandra_xray_radius_exposure_residual_z,512,512,576,24,2.5669560963678606,500,2.5802895634265006,0.42371450616552914,1.8950125931381585,2.574934346593168,3.2305157440820023,0.17208470675867268
macs0416,diego_v4.1,magnif,chandra_xray_sigma1,512,512,576,24,1.6306335922070896,500,1.6432010206104437,0.16267477713489978,1.4128451540438134,1.6320325918515866,1.953173441121424,0.0979058872850942
macs0416,diego_v4.1,magnif,chandra_xray_radius_exposure_residual_z,512,512,576,24,2.6503707722718493,500,2.6437459079964287,0.36618102497554056,2.090583962028869,2.6264379329550236,3.251549875345351,0.13942284180348719
macs0416,williams_v4,kappa,chandra_xray_sigma1,648,648,576,24,2.2483028528569733,500,2.257800041307665,0.21664753923973457,1.9243912175577311,2.239558046534942,2.6250761432888363,0.09564413851503122
macs0416,williams_v4,kappa,chandra_xray_radius_exposure_residual_z,648,648,576,24,3.5106364801366934,500,3.4741612052346222,0.57900349957695,2.5704413272150406,3.461996388884068,4.439993762061356,0.17051663251553867
macs0416,williams_v4,magnif,chandra_xray_sigma1,648,648,520,24,2.1295570992470543,500,2.143900787947926,0.20416527597232015,1.8243835401113695,2.128480603568481,2.4826909643672965,0.09378178616597987
macs0416,williams_v4,magnif,chandra_xray_radius_exposure_residual_z,648,648,520,24,5.131154904557748,500,5.2199624847614015,0.6733309954448499,4.153543216690862,5.186211735036093,6.363739579892868,0.12863101953476178
macs0717,cats_v4.1,kappa,chandra_xray_sigma1,1000,1000,576,24,1.2794907183005164,500,1.2927076005961393,0.1143343792172719,1.12807678394917,1.284287893999208,1.502955247653915,0.0875670489241242
macs0717,cats_v4.1,kappa,chandra_xray_radius_exposure_residual_z,1000,1000,576,24,1.3400263538382833,500,1.337971008577442,0.14294249818357355,1.106597386390417,1.3407671117295674,1.565818768816041,0.10894750212928812
macs0717,cats_v4.1,magnif,chandra_xray_sigma1,1000,1000,576,24,1.280851431906912,500,1.2899119896912203,0.11680795828408005,1.1156769094070371,1.2820342812103767,1.5054374301470377,0.08988667508974978
macs0717,cats_v4.1,magnif,chandra_xray_radius_exposure_residual_z,1000,1000,576,24,1.3359227478667404,500,1.3341131025040454,0.1318017424153232,1.1029952891011712,1.343346997855222,1.5380889122133903,0.09972104401625013
macs0717,diego_v4.1,kappa,chandra_xray_sigma1,512,512,576,24,1.085229563297202,500,1.0856556588198971,0.14811576505163196,0.8484275757130002,1.092289814654284,1.3321730056183685,0.13973364215379874
macs0717,diego_v4.1,kappa,chandra_xray_radius_exposure_residual_z,512,512,576,24,3.747010765895282,500,3.7498801952830063,0.582501822799706,2.830229266936779,3.7423773663359112,4.678036019781672,0.1596817057371999
macs0717,diego_v4.1,magnif,chandra_xray_sigma1,512,512,576,24,0.8937138660745525,500,0.8951703959737464,0.12775474948251478,0.6848860861743391,0.8884468736017277,1.1054780643417108,0.14582304506974994
macs0717,diego_v4.1,magnif,chandra_xray_radius_exposure_residual_z,512,512,576,24,2.532624067733556,500,2.5365501237090657,0.3317619239762794,2.0352086681746417,2.5287552045996584,3.081536449997819,0.13245470161205905
macs0717,williams_v4.1,kappa,chandra_xray_sigma1,878,878,576,24,1.601177409005233,500,1.6120605967126571,0.19846593535992682,1.3182266910919558,1.5898428390378598,1.9512248541078872,0.12070560716410955
